number|shortdesc|fulldesc
5911||"This patch add a new administrative page that serves to manage the
relative costs of transporting an item between branches. “Cost” does not
directly correspond to currency, but rather is a measurement of the difficulty
of transporting the item between the two branches.

For each branch, it is possible to specify a numeric value indicating the
'cost' of transporting the item from that branch to every other branch. A toggle
is also available to block all transport from any branch to any other
branch. The toggle does not change the 'cost' value associated with the
transport between any two branches.

A system preference has been added to control whether holds are filled using the
Transport Cost Matrix, or not.

If the system is configured to use the Transport Cost Matrix for filling holds,
then when attempting to fill a hold, the system will search for the lowest cost
branch, and attempt to fill the hold with an item from that branch first.
Branches of equal cost will be selected from randomly. The branch or branches
of the next highest cost will be selected from only if all the branches in the
previous group are unable to fill the hold.

The system use the item's current holding branch when determining whether
the item can fulfill a hold using the Transport Cost Matrix. This behaviour
can be overruled if the AutomaticItemReturn system preference is enabled."
7500||"In order to reduce the number of image requests on the OPAC, it is
advantageous to create a single PNG containing all the images tiled together,
then use CSS values to 'mask' the unnecessary parts.  This reduce the
overall page load time by several hundred milliseconds.  Not a significant
percentage in the grand scheme of things, but every little bit counts."
8801||"This patch add a link in 'Edit' menu to go directly to batch deletion of items."
5345||"Table sorter & filters have been added everywhere in Koha
We avoid adding sorters & filters where perf is a caveat (like circulation)"
8627||"In MARC21, within field 008 pipe values (i.e. character   ) were not 
passed correctly in the plugin script 
value_builder/marc21_field_008_authorities.pl to the template, resulting 
in replacement of these character positions."
8138||"This patch add MARC21 773$t field if exists to result list of both OPAC 
and staff client.
This require to have XSLT display activated 
"
8759||"We've had reports of patrons being confused by the lack of labels directly
attached to the library and sorting pulldowns on the OPAC advanced search.
With this patch, these pulldowns have explicit labels."
7980||"If TagsInputOnList in enabled there was a new tag  form field displayed with
each search result. This page change this so that it behaves much like the
tag link at the top of search search results where clicking the link displays
the form field.

The per-line add tag functionality is grouped with other  actions  (like
 place hold,   add to cart,  etc). Clicking the link display the form and
automatically move the focus to the entry field."
7704||"Before this patch, when independantbranches was ON and canreservefromotherbranch 
was set to Allow, attempting to checkin the item at the other branch 
is made, system disallows checkin. Now the item is checked in and an 
automatic transfer to the home branch is setup."
7447||"

"
7647||"With popular items the checkout history can be quite long and it is a challenge
to sort through and find one libraries history of a book.
This patch put a table sorter on the checkout history."
7302||"This patch adds CSV export for basketgroups"
5549||"This patch fixes some problems to hourly loans features, that had been introduced
in Koha 3.8"
8028||"The tables on parcel.pl defaulted to show only the first five items in the table,
and librarians had to click the a link to display all the items. Every time the
page is reloaded, the table got re-collapsed, and the librarian had to click again.
With this patch, parcel.pl now remember which way the table was set and keep it
that way until it is changed again."
7839||"This patch adds a tab called Routing Lists into the Patron record between 
Fines  and Circulation History.
It lists all the subscription titles that the patron has routed to them. Each
title has a link to the subscription record and a link to the edit window of the
routing list."
8405||"When displaying the result lists with xslt, the link to the detailed
bibliographic record was hardcoded to the default view (detail.pl or opac-
detail.pl) and there was no way to accomodate for the syspref value since it was
not taken into account in XSLT.pm.
This patch make the default view available in the XSLT.
"
3087||"When marcflavour is UNIMARC, Koha Z39.50 used to return biblio records 
in UNIMARC format. But it also returned that biblio record format
is 'usmarc'. There is an incompatibilty. Z39.50 clients who interpret 
this value won't display correctly biblio records.
WARNING = All UNIMARC libraries must upgrade their zebra configuration and restart zebra,
or searches will always return 0 results !!!
Upgrading zebra is automatically done with 'make upgrade'. Libraries using git must go
to the bugzilla entry to see what must be changed."
8089||"
"
5335||"Before this patch, VAT rate was defined at bookseller level. With this 
new feature, The system preference gist is now a list of tax rates.
Each bookseller has its own default tax rate, and, on each orderline, the 
librarian can choose the tax rate to apply, the default being the bookseller
default one."
8181||"Currently Koha uses a JavaScript calendar plugin from
http://www.dynarch.com/projects/calendar/old/.
This older version of the plugin is open source but is now unmaintained and
he newer version is not open source. This plugin has been replaced by the
jQueryUI datepicker widget:
  http://jqueryui.com/demos/datepicker/"
8130||"This patch add a feature that allows librarians to attach unlimited arbitrary
files to a patron record.
It can be used to store a PDF document with a patron record."
8205||"For libraries which load complete authority files into their Koha installations,
authority records which are not in use can overwhelm those that are in the
 Browse subjects and authors  in the OPAC. This patch add an OPACShowUnusedAuthorities
system preference that can be set to  off  so that the display can be limited to only
those authorities referenced in the bibliographic database."
7563||"This patch implement silent printing for slips. 

In opposition to the solution with an additional Firefox (Portable) installation
(see: http://wiki.koha-community.org/wiki/Using_Portable_Firefox_as_a_Koha_Client), 
this solution works with the standard Firefox installation (+ PlugIn jsPrintSetup) .

jsPrintSetup e.g. allows to set printer, print silent, change header and footer,
see: http://jsprintsetup.mozdev.org/

The overall concept is to have a new staff client system preference 
(intranetslipprinterjs) where one can enter the necessary JavaScript.

If this preference is empty, Koha falls back to the default behaviour.

Example of intranetslipprinterjs configuration:

function printThenClose() {
 try
  {
        //Try to print using jsPrintSetup Plug-In in Firefox
        //If it is not installed fall back to default prnting
        jsPrintSetup.clearSilentPrint();   
        jsPrintSetup.setOption('printSilent', 1);
		
	//Choose printer using one or more of the following functions
	//jsPrintSetup.getPrintersList...
	//jsPrintSetup.setPrinter...

	//Set Header and footer...
        jsPrintSetup.setOption('headerStrLeft', '');
        jsPrintSetup.setOption('headerStrCenter', '');
        jsPrintSetup.setOption('headerStrRight', '');
        jsPrintSetup.setOption('footerStrLeft', '');
        jsPrintSetup.setOption('footerStrCenter', '');
        jsPrintSetup.setOption('footerStrRight', '');   
		
        jsPrintSetup.print();     
        window.close();
  }
catch(err)
  {   
        //Default printing if jsPrint-setup is not available
        window.print();
        window.close();
  }
} 

if you've installed jsPrintSetup PlugIn in Firefox from now on, 
slips will print silently with Firefox and will show default behaviour
if jsPrintSetup is not installed or if you make use of an other browser. 

All other printing will behave like before."
8597||"This patch add a new theme for the OPAC, that includes a mobile version.
This patch add the following system preferences:
    * OpacMainUserBlockMobile- alternate content for MainUserBlock for mobile.
    * OPACMobileUserCSS- custom CSS for mobile views only.
    * OpacShowFiltersPulldownMobile- whether or not to show the index
      dropdown on the mobile view.
    * OpacShowLibrariesPulldownMobile- whether or not to show the library
      dropdown on the mobile view.

In order to activate the theme, change the opacthemes syspref to 'ccsr' and make 
sure that your opaccolorstylesheet is set to 'colors.css.'"
7959||"The OPAC's suggestions list is similar to that of lists in that there is an
action you can take directly (new suggestion) and an action you can take if
items are selected (delete suggestion). The toolbar now match the one on
lists in that the delete option should only be available if an item is selected."
7412||"Pre-filling of items: remember what was in the previous item filled, to be able
to create multiple items quickly.
By default, all subfields are prefilled when the PrefillItem syspref is on, unless 
you specify which fields you want to prefill in the SubfieldsToUseWhenPrefill syspref.
For example, with a value of 'f u v', only the $f, $u and $v will be prefilled."
7168||"This patch add the possibility to search orders by the basket group name"
7977||"This patch add the option of displaying a select quote
for the day on the OPAC homepage. It include the addition
of a QOD editor in the tools section of the staff interface
which allow the addition, editing, and deletion of quotes.
A single system preference enable/disable the display of
the QOD on the OPAC homepage. A new granular permission has
also been added to control user access to the QOD editor tool."
3462||"The see also statements in Authorities are linked to the
authority they were referencing"
8768||"ItemType.t fails because the second test attempts to retrieve a non existent
result set causing an error in DBI
The intention of the test is that all returns 0 on an empty table so DBD::Mock
should be populated with an empty result set otherwise the test suite fails

"
8106||"This patch add a DataTables filter in Acquisision module: addorderiso2709.tt"
8223||""
7621||"Public libraries and school libraries often have to deal with a lot of age
restrictions, [e.g. FSK (see www.fsk.de) or PEGI (Pan European Game
Information, see www.pegi.info)] and/or with regional rules regarding movies
(virtually every canton in Switzerland has it's own rules).

The classic way to implement age restrictions is to make use of a lot of
categories. This gets soon very complicated, and is not easily maintainable. The
librarians need an easy way to maintain age restrictions per title, otherwise
they will not accept Koha.

This patch adds a robust and easily configurable way to match age restriction
against the borrower's age.

The concept.
  1) Have information about age restriction in a field (521$a Target audience
 is suggested) The entry can be anywhere in the field. It reads like
PEGI 3 or FSK 12 (or any other 'tag' + age).
  2) Have a preference like 'AgeRestrictionTags' where such tags are defined. It is a
text field with a list like
PEGI,FSK,Age...
  3) Update your MARC cataloguing frameworks to link the 521$a (or any other one) to
biblioitems.agerestriction.
  4) Add a limit into a biblio record, for example PEGI 12, if you've defined PEGI in 
AgeRestrictionTags.
If a borrower tries to check out a restricted book and does not have the
appropriate age, the circulation module will block the check out and issue a
message like Age restriction 12 "
8216||"SIP modules continued to issue a number of perlcritic warnings. 
This patch add C4/SIP to the testcritic diirectories and address those 
issues which are warnings (mainly return undef and subroutine prototypes)
it also removes some dead code that was no longer used."
8485||"This patch add a switch to the koha_perl_deps.pl script so it is more batch
friendly. 
The new parameter -B (for batch) make it output just the library name,
preserving the other switches semantics.

It is useful to do things like:

for k in $(for i in $(./koha_perl_deps.pl -m -B   perl -pi -e 's/::/-/g'   tr
'[A-Z]' '[a-z]')
  do
    echo lib$i-perl
  done)
do
 apt-cache search $k
done"
8649||"This patch add unit tests for searching"
7955||"This patch add a tab (in the patron module) with statistics (number
of issues by document type,...)"
8092||"This patch add CHI support for cachin and its already-existing cache drivers."
7729||"The svc new_biblio and biblio scripts and now create item as well

The svc API also support deletion of items - maybe using HTTP DELETE
method."
8178||"This patch fixes some Plack errors in circulation"
8585||"When you are on the  Holds to Pull  page in the Circulation module, the
default Start Date  in the  Refine Results  section is 2 days in the past.

This patch introduce a system preference that changes the number of days to
however many the librarian chooses. If the system preference isn't set, the
default of 2 days will continue to be used."
6494||"The opacmysummaryhtml is also showed on the reading history
since it's pretty much a longer version of the my summary anyway.  If not that
preference, then another preference like it specifically for the reading
history."
7949||"At the moment the favicon used in the staff client is the same as the one for
the opac. A different one would make it more legible when having both opened in
various tabs."
7398||"Like on the staff client, it is now possible to show the number of holds
currently on a title. This will allow patrons to know how long a wait is going
to be without having to log into the OPAC.
This patch add Add a new system preference, OPACShowHoldsCount, that will
control whether the total number of holds shown on the OPAC detail page or not."
7792||"The table branches had a UNIQUE KEY `branchcode`, that is moved to PRIMARY KEY
(There's no noticeable consequence to this change)"
8099||"This patch add a DataTables filter in Acquisision module: acqui-home.tt"
8185||"In cataloguing/value_builder there is a plugin for linking records.
But is only for unimarc  (unimarc_field_4XX.pl), this patch add a plugin for MARC21."
4321||" This function of C4::Biblio API is badly coded, this patch fixes it"
7065||"The reserves (and old_reserves) tables need a primary key.
reservernumber should be used for consistency sake.  This will allow the
possibility of multiple holds per biblio/patron combination, and a host of other
improvements."
8208||"Right now if you want to link a heading to a new authority record, you have to
either use BiblioAddsAuthorities to automatically generate the authority, or
create a new authority in the authority module, and wait for the indexer to
catch up. This patch add a create authority button that -- like the fast add
functionality in circ -- allows you to create an authority and immediately
populate the heading."
2060||"This patch add a feature to import authority record files.
The biblio records staging and importing into the catalogue has been extended to handle 
authorities.
The matching rules have also be extended to handle authorities."
8080||"When creating a new patron, if you have chosen to let your browser remember your
login and password for you, the login and password fields will be pre-filled
with them, leading to a systematic error the passwords entered do not match 
since the second password field was not filled.
With this patch, these fields are always blank."
8256||"At the moment, reports cannot be selected from the reports webservice by name,
only by report ID. This patch add the feature to select a report by name."
5357||"This patch improve many ergonomic aspects of the serials module:
  * The search page is improved and some fields are added to search on
(issn, subscription number, library, internal note, callnumber).
  * The subscription list result is modified. The pipe will be removed in case
of a repeated title & issn (the title & issn are repeated).
  * The internal note was not displayed on staff interface. It is now displayed in
serial issues and in various places where it can be usefull.
  * An option has been added to limit subscription search by branch."
7990||"bad html attribute into aqplan.tt : styl= insted of style="
5339||"A new feature has been added to enable closing of a parcel.
Once a parcel is closed, no item can be added.
When the librarian closes a parcel, invoice informations can be entered.
Invoice detail includes:
    - shipment date.
    - billing date.
    - shipment cost and budget used for shipment cost."
7213||"This patch add a script that can be used from commandline to play with
the svc/ API for integrating biblio records into Koha.
This script can be used from other scripts as C<Koha::SVC> module or run
directly using syntax:
  koha-svc.pl http://koha-dev:8080/cgi-bin/koha/svc svc-user svc-password 
  $biblionumber [bib-42.xml]
"
8206||"The OPAC authority browser used to have several boxes for the different types of
authority searches that are possible. This was confusing to users, and rather
ugly. However, the additional options were useful for libraries with massive
authority files. This patch add a dropdown to the authority search page on the
OPAC which can be easily hidden using CSS, but offers the option to choose
whether to look in main entries, headings, or anywhere."
8117||"Budget periods are now divided into two tabs : active and inactive
budget periods."
8412||"This patch add coloring images to ccodes.
The goalis to make it so that libraries can use one of the authorized
values (shelving location or collection code) to store the color of the material
and then make that searchable on the advanced search page.
To do this for collection codes you'd need to add the following jqueries:
intranetuserjs
  $(document).ready(function(){
    $( #advsearch-tab-ccode a:contains('Collection') ).text( Color );
    $( #holdings th:contains('Collection') ).text( Color );
  });
opacuserjs
  $(document).ready(function(){
    $( #advsearch-tab-ccode a:contains('Collection') ).text( Color );
    $('#item_ccode').text( Color );
  });
And update the frameworks to change the 952$8 label to say Color.
This patch just has images, no code."
8202||"This patch add the feature to export authorities in the export tool"
7991||"This patch display in a holding summary tab informations about serial
record.
It is UNIMARC specific, and probably french-specific.

It add the following fields: branch (955$9), holding summary (955$r) and
call (930$a).

which are informations imported from SUDOC (french universities common
catalogue)

example :
http://catalogue.univ-aix-marseille.fr/cgi-bin/koha/opac-detail
.pl?biblionumber=725747"
7248||"This patch move all caching services to the Koha namespace
This patch is a first step that will let us add more caching services to 
improve speed and scalability.
This patch work in cunjunction with 8089 and 8092"
7788||"This patch just clean and remove some dead code:
First patch deals with two unused calls to GetShelf in
opac/opac-downloadshelf.pl and virtualshelves/downloadshelf.pl."
8283||"This patch continues the work to eliminate usage of YUI by using jQuery
Cookie plugin instead of YUI Cookie.."
8210||"There should be a link to used authority records from the bibliographic
details display. This is already done in 5888 for the  normal  display."
3708||"This patch creates a new system preference, OpacNavRight, in
which the librarian can add HTML which will appear on the OPAC
main page under the login form. If the user is logged in the content
will appear in place of the login form."
7420||"This patch add capped charge per item.
It add Overdue Fines Cap section at the bottom of the Circulation
Rules page, inputs for item type, patron category."
8167||"This patch add a system preference IssueLostItem to define the 
behaviour in case of issuing a 'lost' item:
    - do nothing (checkout without any warning).
    - request for confirmation.
    - issue a non-blocking warning."
6566||"This patch add a small script that checks that each biblio in the DB is
properly indexed.

parameters:
\th this help screen
\tc confirm (without this parameter, you get the help screen
\tz insert a signal in zebraqueue to force indexing of non indexed biblios
\ts silent throw no warnings except for non indexed records. Otherwise throw a
warn every 1000 biblios to show progress

Syntax:
\t./batchCheckNonIndexedBiblios.pl -h
\t./batchCheckNonIndexedBiblios.pl -c
"
7993||"This patch introduce grouping and subgroupig for SQL reports.
Libraries:
  -  can create themselves their topics (no pre-defined grouping)
  -  can move report from a hierarchy to another (modify)
  -  have 2 level of hierarchy available

This patch add 2 authorised value lists:  GROUP and SUBGROUP.
When you register or modify a report, you first choose a  group  (code) and 
then a subbgroup  (lib_opac wich represent the link between both).

Example:
  GROUP.
    Code lib lib_opac.
    CIRC Circulation PRT.
    CIRC Circulation RET.
    CAT Cataloguing BIB.
    CAT Cataloguing EX.
    CAT Cataloguing AUT.
    ...etc.

  SUB_GROUP.
    Code lib lib_OPAC.
    PRT Check-outs CIRC.
    RET Check-ins CIRC.
    BIB Biblios BIB CAT.
    EX Biblio EX CAT.
    AUT Biblio AUT CAT.

From Summary and Statistics  when saving the report, a proposal from the
list of tabs (hierarchy) to classify the report as a topic of their choice.

Other changes introduced by this patch:
  * From .../cgi-bin/koha/reports/guided_reports.pl?phase= First show the 
    top of hierarchies as tabs and then clicking on the opening of
    the hierarchy. Reports are provided in a table with headers that are 
    sortable.
  * After you save the report there is now a link from this page 'Start the 
    new report'.
  * Columns are also sortable."
8431||"Some libraries like to store more verbose data in a borrower attribute
field. The character limit has been improved from 64 to 255."
5337||"In acquisition module, scanning an EAN result in a correct search"
7747||"This patch introduce jQueryUI in Koha, widget autocomplete."
7926||"Search results in acquisition show a column for basket group with  name of
basket group (basket group number)  that will only be () when there is no basket
group for an order line."
7613||"This patch add OCLC Connexion Gateway, including extension svc/import_bib
to let libraries populate their catalogue with OCLC (or other) external sources.
This patch includes:
  * C4::ImportBatch: create sub GetImportBatchByFilename($filename) which will get
the last import_batches record with the filename.
  * svc/import_bib:
    -  POST request structure:
param1: val.
param2: val.
<?xml version= 1.0  encoding= UTF-8 ?>
<record ...
</record>
    -  call C4::ImportBatch::GetImportBatchByFilename( webservice ); if in 'stage'
status use it, otherwise create new one AddImportBatch() using POST param.
    -  call C4::ImportBatch::AddBiblioToBatch() and AddItemsToImportBiblio().
    -  if import mode = 'direct' call C4::ImportBatch::BatchCommitBibRecords().
  * misc/cronjobs/import_webservice_batch.pl:
    -  input params: framework (default 'default').
    -  call C4::ImportBatch::GetImportBatchByFilename( webservice ); if in 'stage'
status.
    -  call C4::ImportBatch::BatchCommitBibRecords().
  * OCLC requests listening daemon connexion_import.pl.
    -  base on HTTP::Server or similar.
    -  command line params: config file.
    -  config values as per spec.
    -  first get the auth cooki from auth url, then make request to import url"
4460||"Though koha enables usage of Amazon's AssociateID tag, in the enhanced content
configuration.  No code currently uses it when generating links to Amazon.  Thus
if a person searching the catalog clicks on a link taking them to Amazon for a
purchase, Amazon doesn't have the tag and cannot associate the account
accordingly.  Thus, any possible revenue is lost."
8477||"This patch add home and holding branch display when checking in an item."
8655||"This patch reorders the administration home page for a better usability:
The administration home page says  Configure these parameters in the order they
appear, but cities and road types appear before circulation and fine rules.
Circ rules have a higher priority."
7351||"The new feature that allows you to enter a range of holidays does not let you
edit the range. So if you have a long range of dates and you messed up you have
to edit them one by one. This patch add a way to edit/delete a range of dates."
8757||"This patch improve the size of authorised values descriptions.
Authorised Values have many uses, and, among others things, store in SUGGEST the
potential  reasons  (then stored in the  suggestions  table) for which a
suggestion can be refused.
To give better informations to borrowers, some librairies would like to see
longer  lib_opac  fields (the  lib  field should follow the movement, of
course), this patch make this field 255 chars long."
8063||"The gather_print_notices.pl cronjob for printing hold notices mails all notices
as one file and does not separate out the notices by branch.  For libraries with
multiple branches this results in large files being received by individual
branches that need to be read/sorted/printed or ignored.
This patch add a --split (or -s) parameter to gather_print_notices.pl that
let the library create a separate file for each (borrower) branch"
8524||"The current barcode plugin uses the autobarcode syspref to decide 
which type of barcode to generate, then *always* inserts a barcode. 
This patch add a plugin which will only insert the barcode when the plugin 
link is clicked."
7757||"This patch add the ability to change the vendor for an
individual basket."
7470||"This patch make a new implementation of babeltheque in koha, more 
complete and better integrated (for the moment in community version,
babeltheque is not configurable and hardcoded in opac-bottom.inc).
There are 3 features in this one:
  - adds social network information in search results.
  - adds babeltheque data in opac-detail.
  - adds social network links in opac-detail too (google+, twitter, mail ...)
French article with screenshots:
http://docmiop.wordpress.com/2012/01/18/quand-babeltheque-enrichit-koha/"
4246||"Implements support for Talking Tech I-tiva phone notification for 
OVERDUE,  PREDUE and HOLD notifications.
Overdues respect triggers as configured for the patron's branch.
Predue and Holds notifications respect patron's messaging preference choices.
A new column for phone notification is added if the 
TalkingTechItivaPhoneNotification system preference is turned on.

Record of phone messages being sent to patrons is added to the patron's
Notices tab; notice of success or failure can be retrieved from I-tiva.

See the TalkingTech.README for installation and set-up instructions."
7675||"On some Linux distributions like RedHat, Fedora, CentOS you can use
SELinux for enhanced security. Among others, this involves file labeling
(security context).
In other distributions SELinux can be installed additionally.

The script added by this patch xt/set-selinux-labels lets you update and
restore such labels on the perl script in a Koha installation.
Note that there is more to it to get Koha running with SELinux, but this is a
first step."
3461||"trivial"
8496||"This patch add local cover images at lists in the opac."
3374||"Patron's  Additional attributes and identifiers are displayed
in the same format as other standard patron data: in a list of label/data
pairs."
8693||"issuehistory.pl is displaying a timeline of checkouts for a particular
title, so it makes more sense to display the list chronologically."
8319||"On the statistics tab on the patron record the table headings are
confusing to the average library staff member.  This patch change the language
to something a bit clearer."
8211||"With the addition of DOM indexing, it is now possible to do  exploded
searches which search for records with broader, narrower, and other related
headings by searching authorities for the specified term, then using
authorities that match the specified criteria to do a more inclusive search
for bib records."
8321||"This patch is fixing a tiny display problem
OPACShowBarcode has a description of: Show/Don't show Show items barcode in
holding tab.
(show is repeated)"
number||"fulldesc"
7846||"This patch does not add any feature, but improves by a factor 100 the 
speed of Manage Batch for label printing screen "
7963||"Current script check-url.pl checks URL found in 856$u by sending HTTP
requests, one by one. This patch add a new script which send multiple
requests simultaneously. The checking is something like 20 times faster.

This script is based on AnyEvent and AnyEvent::HTTP CPAN modules, that are
required dependencies if you want to use it."
7941||""
8989||"Facets in search results (both in the staff interface and in the opac)
have ids for css styling, except for the availability facet.

This patch add one, especially since this feature seems to have been
broken for a while and this would allow us to hide it. "
7739||"A new option - Edit items in batch - is made available under the menu
- Edit - in  the catalog detail page. When this option is selected the tool
batch 
item modification is called with all items under this biblio passed as
parameters.

User can then edit all items of this biblio in batch. Once changes are 
saved the 'done' link takes the user back to the catalog detail page of 
this biblio."
7417||"This patch enable the search on authorities see-from in biblio 
searches. Although authority records include references from unused terms,
at present Koha does not take advantage of them when searching bibliographic
records. It would be very useful if Koha could (optionally) include all the
see-from terms in bibliographic records for indexing purposes. In order
to do this, it will be necessary to inject see-from headings into bib 
records immediately before exporting them for indexing by Zebra (or solr,
or any other indexing engine that Koha may use).
The price for this feature, if you use it, is a much slower catalogue
indexing speed. (by a factor 2 or 3)"
7570||"For items in the cart (opac-basket.pl), only location and call no. are
displayed, This patch add the display of item availability status as well."
8001||"This patch allows the title and the tag terms in the user's tag list 
to be styled differently in order to make things prettier."
8107||"Disabled buttons in Koha appear no different than enabled buttons. This
patch add some CSS in Koha to make disabled buttons distinguishable from 
enabled ones."
8083||"This patch introduce 'manage_circ_rules' and
'parameters_remaining_permissions' parameters subpermissions.

Add  GranularParametersPermissions  boolean syspref, No default. If set to yes
use aforementioned subpermissions in admin/* functions, otherwise just use
parameters flag"
7475||"Right now it is impossible to overlay existing records when importing new
authority records. This patch add a script that handles the following overlay
options:
    * Overlay (or discard) based on matching preferred headings (1xx in MARC21, 2xx
in UNIMARC).
    * Overlay (or discard) based on matching LCCNs (010 in MARC21).
    * Overlay (or discard) based on matching control numbers (001 for both MARC21
and UNIMARC).
    * Overlay (or discard) based on matching an earlier form of the heading
(4xx$w/2=[aeo] in MARC21, 4xx$5=a in UNIMARC).
    * Select which record to keep based on the date last modified (003 in MARC21).

This script enable libraries to keep their authority records up to date
with the latest national authority files, without polluting the local authority
file with numerous copies of authority records (every time they are updated)."
8449||"This patch changes the div classes, so that the prompts for action
stand out and actually grab the attention of the user.

It also adds more precise, descriptive language for the prompt messages and
fixes the grammar (e.g. comma splices). The most important part being the 
second instruction where staff are prompted to check-in the item to continue
processing the hold for the next patron in the holds queue."
5184||"This patch update JQuery library to version 1.3.2"
7444||"With this patch, all dates can now be displayed through a 
Template::Toolkit plugin. All existing code must be updated.
Dates can/should/must now be displayed by:
* adding [% USE KohaDates %] at the beginning of the template.
* use [% mydate   KohaDates %] for mydate date variable.
* remove .pl code that update date format before sending the string
to the template.

This entry is an omnibus, as many patches will be necessary."
7805||"The next step after 7310: Exposing the new permissions to add and
delete virtualshelves.

Important note: The owner can always add, but needs perms to remove."
4118||"This patch add the collection code added to the statistics table in
addition to itemtype."
7601||"This patch add the DefaultLanguageField008 systempreference, that is
used to populate the defauil 008 MARC21 field, Range 35-37"
7751||"Controlled by a syspref, this will reduce the amount of time something
can be onloan, if it has a lot of holds on it:
The loan duration is reduced by decreaseLoanHighHoldsDuration days for items 
with more than decreaseLoanHighHoldsValue holds"
8271||"teach SIPServer.pm to set its own lib path SIPServer.pm requires that
C4/SIP 
is added to its lib path This has been done by passing this directory
to it via -I. By using FindBin it can set the path for itself correctly. 
This will also work if the C4/SIP directory tree is moved to a 
non-standard location This patch also remove the now redundant -I. from
sip_run.sh."
8525||"After doing a search and going to the details page, it can sometimes be
difficult to see exactly *why* a record was returned by a search. It would be
very useful to highlight the matches on the details page in the same way we
highlight them on the results page."
7903||"This patch add ordernumber column in order's history table

Add an ordernumber column in the search results table of orders. it would be
an appreciate help as far as order tracking is concerned."
6716||"The database documentation available at 
http://schema.koha-community.org has been updated and improved"
8718||"Normal catalogue detail view in staff client doesn't show missing
serials or subscription history note.
This patch adds librariannote (staff subscription history note) and missing
list to the normal catalogue detail view in staff client."
6689||"This patch change the style of the pager which has been added to some
tables sorted by the jQuery tablesorter. "
7905||"In Serials, on the summary of a subscription, four different notes
(nonpublic note, public note, and 2 notes for history) are displayed in
one line for each. But when we edit the subscription, it's possible
(and tempting) to type the content on several lines.

This patch try to display these notes on several lines in an elegant way (not so
easy because the layout seems to be optimized for one-line informations)."
8726||"Building on the work in bug 8211, this patch add a  Did you mean? 
plugin which will suggest that users review broader, narrower, and related
terms when they do subject searches, thus making the functionality usable
to the general public."
7583||"This patch add a feature to unreceive an item in acquisitions - or undo a
receipt if you happen to have clicked the wrong title or a title by accident"
8100||"This patch add a DataTables filter in Acquisision module: neworderbiblio.tt"
7153||"This patch show Open Library as Search Target in  More Searches  in OPAC
detail page."
6684||"Currently, koha-remove does not check that at least one instancename was
provided as an argument, so running it with arguments causes an Apache reload,
which might come as a surprise.
If no instancename is given as argument it print it's usage.
"
